[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/yui/dom/dom-min.js" [Client 172.25.0.1] [Length 5739] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/jsbundles/styles.css" [Client 172.25.0.1] [Length 29906] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/yui/connection/connection-min.js" [Client 172.25.0.1] [Length 4442] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/yui/autocomplete/autocomplete-min.js" [Client 172.25.0.1] [Length 7254] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/yui/element/element-min.js" [Client 172.25.0.1] [Length 2698] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/yui/container/container-min.js" [Client 172.25.0.1] [Length 19870] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/yui/storage/storage-min.js" [Client 172.25.0.1] [Length 4048] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/prototype.js" [Client 172.25.0.1] [Length 37877] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/yui/datasource/datasource-min.js" [Client 172.25.0.1] [Length 8229] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/sortable.js" [Client 172.25.0.1] [Length 4459] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/adjuncts/3d816523/hudson/model/View/screen-resolution.js" [Client 172.25.0.1] [Length 227] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/yui/cookie/cookie-min.js" [Client 172.25.0.1] [Length 1430] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/yui/button/button-min.js" [Client 172.25.0.1] [Length 8381] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/yui/menu/menu-min.js" [Client 172.25.0.1] [Length 15880] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/jsbundles/page-init.js" [Client 172.25.0.1] [Length 2305] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
