[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/baseapp-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 2984392] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/extdirect-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 16264] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-rapture-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 208452] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-blobstore-s3-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 9873] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/bootstrap.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 918] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-blobstore-azure-cloud-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 3243] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-rutauth-plugin-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 1643] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-coreui-plugin-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 528204] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-repository-maven-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 2122] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
[12/May/2023:12:21:48 +0000] - 200 200 - GET http nexus3.local "/static/rapture/nexus-onboarding-plugin-prod.js?_v=3.53.0-01&_e=OSS&_c=2023-05-02-2002-47628" [Client 172.25.0.1] [Length 9512] [Gzip -] [Sent-to nexus3] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nexus3.local/"
