[12/May/2023:08:28:43 +0000] - 304 304 - GET http nginxproxymanager.local "/images/favicons/favicon-32x32.png" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[12/May/2023:08:28:43 +0000] - 304 304 - GET http nginxproxymanager.local "/assets/tabler-ui/63646eb9c7fb162ba07dcc3331eb4321.woff" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/css/main.css?v=2.10.2"
[12/May/2023:08:28:43 +0000] - 200 200 - GET http nginxproxymanager.local "/api/reports/hosts" [Client 172.25.0.1] [Length 47] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[12/May/2023:08:28:45 +0000] - 304 304 - GET http nginxproxymanager.local "/js/7.bundle.7.js?v=2.10.2" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:28:45 +0000] - 200 200 - GET http nginxproxymanager.local "/api/nginx/proxy-hosts?expand=owner,access_list,certificate" [Client 172.25.0.1] [Length 846] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:28:54 +0000] - 304 304 - GET http nginxproxymanager.local "/js/0.bundle.0.js?v=2.10.2" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:28:54 +0000] - 304 304 - GET http nginxproxymanager.local "/js/11.bundle.11.js?v=2.10.2" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:28:54 +0000] - 200 200 - GET http nginxproxymanager.local "/api/nginx/access-lists?expand=items,clients" [Client 172.25.0.1] [Length 2] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:28:54 +0000] - 200 200 - GET http nginxproxymanager.local "/api/nginx/certificates" [Client 172.25.0.1] [Length 2] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
[12/May/2023:08:29:13 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/nginx/proxy"
