[28/Apr/2023:13:33:56 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:33:56 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:34:27 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:34:27 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:34:58 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:34:58 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:35:29 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:35:29 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:36:00 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:36:00 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:36:31 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:36:31 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:36:43 +0000] - 200 200 - GET http nginxproxymanager.local "/api/tokens" [Client 172.25.0.1] [Length 593] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:36:43 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:37:02 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:37:02 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:37:33 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:37:33 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:38:04 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:38:04 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:38:35 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:38:35 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:39:06 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:39:06 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:39:37 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:39:37 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:40:08 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:40:08 +0000] - 200 200 - GET http nginxproxymanager.local "/api/users/me?expand=permissions" [Client 172.25.0.1] [Length 524] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
